name,address,lat,long,description,State,Market City,Frequency,Format,Tower,Slogan,Avails,Spot Rate,Transmitter Location,unnamed (1),Location
WMTE,"6P62+CQW Filer Charter Twp, Michigan",44.2111125,-86.2980469,"State: MI<br>Market City: Manistee<br>Frequency: 101.5 FM<br>Format: Rock Favorites<br>Tower: 6P62+CQW Filer Charter Twp, Michigan<br>Slogan: ""Eagle 101.5""<br>Avails: 6A-7P 2 HR<br>Spot Rate: $20.00 ",<value>MI</value>,<value>Manistee</value>,<value>101.5 FM</value>,<value>Rock Favorites</value>,"<value>6P62+CQW Filer Charter Twp, Michigan</value>","<value>""Eagle 101.5""</value>",<value>6A-7P 2 HR</value>,<value>$20.00 </value>,,,
WNAV (ROS!!!),"XFMH+94G Annapolis, Maryland",38.9834375,-76.5221719,"State: MD<br>Market City: Annapolis<br>Frequency: 99.9 FM<br>1430 AM<br>Format: Oldies<br>Tower: XFMH+94G Annapolis, Maryland<br>Slogan: ""Your Hometown Station""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>MD</value>,<value>Annapolis</value>,"<value>99.9 FM
1430 AM</value>",<value>Oldies</value>,"<value>XFMH+94G Annapolis, Maryland</value>","<value>""Your Hometown Station""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WNSR,46RV+FC9 Nashville,36.1411625,-86.7563906,"State: TN<br>Market City: Nashville<br>Frequency: 560 AM<br>95.9 FM<br>107.9 FM<br>Format: Sports<br>Tower:  46RV+FC9 Nashville<br>Slogan: ""Sportsradio 560""<br>Avails: 6am - 7pm <br>2/hr<br>Spot Rate: $12.00 ",<value>TN</value>,<value>Nashville</value>,"<value>560 AM
95.9 FM
107.9 FM</value>",<value>Sports</value>,<value> 46RV+FC9 Nashville</value>,"<value>""Sportsradio 560""</value>","<value>6am - 7pm 
2/hr</value>",<value>$12.00 </value>,,,
WNVY,"HPH6+XM8 Gonzalez, Florida",30.5799125,-87.2882969,"State: FL<br>Market City: Pensacola<br>Frequency: 104.5 FM<br>1070 AM<br>Format: Religious<br>Tower: HPH6+XM8 Gonzalez, Florida<br>Slogan: ""Radio That Changes the Way You Live""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $30.00 ",<value>FL</value>,<value>Pensacola</value>,"<value>104.5 FM
1070 AM</value>",<value>Religious</value>,"<value>HPH6+XM8 Gonzalez, Florida</value>","<value>""Radio That Changes the Way You Live""</value>",<value>6A-7P 2/HR.</value>,<value>$30.00 </value>,,,
WOAP-AM,"2RJC+8QX Owosso Charter Township, Michigan",43.0308625,-84.1780156,"State: MI<br>Market City: Owasso<br>Frequency: 103.1 FM & 1080 AM<br>Format: Mix<br>Tower: 2RJC+8QX Owosso Charter Township, Michigan<br>Slogan: ""103.1 Portal FM""<br>Avails: 6A-7P 2/HR.<br>Spot Rate: $12.00 ",<value>MI</value>,<value>Owasso</value>,<value>103.1 FM &amp; 1080 AM</value>,<value>Mix</value>,"<value>2RJC+8QX Owosso Charter Township, Michigan</value>","<value>""103.1 Portal FM""</value>",<value>6A-7P 2/HR.</value>,<value>$12.00 </value>,,,
WGRY,"H8C4+8XQ Pere Cheney, Michigan",44.577516,-84.6378036,"State: MI<br>Market City: Roscommon<br>Frequency: 101.1 FM<br>Format: Sports<br>Tower: H8C4+8XQ Pere Cheney, Michigan<br>Slogan: ""Up North Sports Radio""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $15.00 ",<value>MI</value>,<value>Roscommon</value>,<value>101.1 FM</value>,<value>Sports</value>,"<value>H8C4+8XQ Pere Cheney, Michigan</value>","<value>""Up North Sports Radio""</value>",<value>6A-7P 2/HR</value>,<value>$15.00 </value>,,,
WJNL,"HC54+QGG Kingsley, Michigan",44.5594375,-85.5936719,"State: MI<br>Market City: Traverse City<br>Frequency: 1210 AM<br>101.1 FM<br>Format: Talk<br>Tower: HC54+QGG Kingsley, Michigan<br>Slogan: ""Newsradio 1210""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $15.00 ",<value>MI</value>,<value>Traverse City</value>,"<value>1210 AM
101.1 FM</value>",<value>Talk</value>,"<value>HC54+QGG Kingsley, Michigan</value>","<value>""Newsradio 1210""</value>",<value>6A-7P 2/HR</value>,<value>$15.00 </value>,,,
WQON,"H8C4+8XQ Pere Cheney, Michigan",44.577516,-84.6378036,"State: MI<br>Market City: Grayling, MI<br>Frequency: 100.3FM<br>Format: Classic Rock<br>Tower: H8C4+8XQ Pere Cheney, Michigan<br>Slogan: ""Q 100.3""<br>Avails: 6A-7P 2/HR<br>Spot Rate: $25.00 ",<value>MI</value>,"<value>Grayling, MI</value>",<value>100.3FM</value>,<value>Classic Rock</value>,"<value>H8C4+8XQ Pere Cheney, Michigan</value>","<value>""Q 100.3""</value>",<value>6A-7P 2/HR</value>,<value>$25.00 </value>,,,
WREJ (ROS!!!),"GJHC+547 Montrose, Virginia",37.5279125,-77.3797031,"State: VA<br>Market City: Richmond<br>Frequency: 101.3 FM<br>990 AM<br>Format: Gospel<br>Tower: GJHC+547 Montrose, Virginia<br>Slogan: ""Rejoice 990""<br>Avails: ROS 6-10A, Noon-1, 3-7P<br>Spot Rate: $18.00 ",<value>VA</value>,<value>Richmond</value>,"<value>101.3 FM
990 AM</value>",<value>Gospel</value>,"<value>GJHC+547 Montrose, Virginia</value>","<value>""Rejoice 990""</value>","<value>ROS 6-10A, Noon-1, 3-7P</value>",<value>$18.00 </value>,,,
WRUP,"J93H+GJF Ishpeming Township, Michigan",46.6038125,-87.6209531,"State: MI<br>Market City: Marquette<br>Frequency: 98.3 FM<br>Format: Classic Rock<br>Tower: J93H+GJF Ishpeming Township, Michigan<br>Slogan: ""The UP's Only Real Classic Rock Station""<br>Avails: M-Sn<br>6A-7P<br>2/hr<br>Spot Rate: $14.00 ",<value>MI</value>,<value>Marquette</value>,<value>98.3 FM</value>,<value>Classic Rock</value>,"<value>J93H+GJF Ishpeming Township, Michigan</value>","<value>""The UP's Only Real Classic Rock Station""</value>","<value>M-Sn
6A-7P
2/hr</value>",<value>$14.00 </value>,,,
